xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=30, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	03
cpt:Y	28.308610999999999
cpt:X	-98.556944000000001
1985	138.55938600482511
1986	197.62042736879704
1987	195.71591692172626
1988	69.900157436437922
1989	41.966491209510309
1990	171.06780413961312
1991	187.11292657242805
1992	256.90503871556081
1993	260.40537900598537
1994	181.46534086504093
1995	232.87806468259527
1996	-7.2515971233336813
1997	135.67122288080395
1998	230.72031216974636
1999	6.3278572896147693
2000	-43.022001873415775
2001	42.390049018121005
2002	142.09861390766869
2003	185.95322455563254
2004	220.42768982628849
2005	608.74912713721881
2006	38.376352068573198
2007	131.57999956720266
2008	14.110417918247066
2009	43.276126497936175
2010	19886.909402640715
2011	26.177767069964773
2012	163.40639250452779
2013	78.676193735760890
2014	65.162867641914346
