xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=prcp, cpt:nrow=20, cpt:ncol=6, cpt:row=T, cpt:col=station, cpt:units=mm/month, cpt:missing=-2.
	            1	            2	            3	            4	            5	            6
cpt:X	      122.006	       121.05	      121.633	        120.6	      121.557	      121.967
cpt:Y	       14.102	       14.083	       18.367	       16.417	       15.757	        20.45
cpt:elev	         5. m	        10. m	         3. m	      1500. m	         6. m	        11. m
cpt:Name	       Alabat	     Ambulong	       Aparri	  Baguio City	        Baler	        Basco
cpt:Province	       Quezon	     Batangas	      Cagayan	      Benguet	       Quezon	      Batanes
      1960-01	 -2.00000    	  159.400    	  306.900    	  35.1000    	  167.400    	  185.500    
      1960-02	  590.500    	  53.4000    	  237.000    	  113.400    	  411.300    	  190.700    
      1961-01	  118.500    	  10.5000    	  37.4000    	 0.000000E+00	 -2.00000    	  130.400    
      1961-02	  61.0000    	  15.2000    	  69.0000    	 0.000000E+00	  34.3000    	  98.1000    
      1962-01	 -2.00000    	  2.30000    	  194.500    	  3.30000    	  98.6000    	  139.100    
      1962-02	  130.900    	  3.60000    	  41.2000    	 0.000000E+00	  53.3000    	  157.100    
      1963-01	  241.900    	  2.80000    	  213.700    	  9.60000    	  141.100    	  91.8000    
      1963-02	  86.1000    	  2.20000    	  108.500    	  4.30000    	  237.000    	  147.600    
      1964-01	  356.000    	  1.90000    	  14.5000    	  3.20000    	  188.200    	  78.2000    
      1964-02	  444.900    	  29.3000    	  57.6000    	 0.800000    	  128.500    	  282.300    
      1965-01	  263.000    	  9.90000    	  417.900    	  2.60000    	  133.300    	  133.900    
      1965-02	  148.700    	  5.60000    	  9.70000    	  22.4000    	  58.0000    	  87.0000    
      1966-01	  153.800    	  15.1000    	  13.4000    	  19.6000    	  281.100    	  162.200    
      1966-02	  131.600    	  18.6000    	  41.2000    	  6.90000    	  139.200    	  120.500    
      1967-01	  453.400    	  105.900    	  93.4000    	  1.80000    	  129.700    	  141.200    
      1967-02	  125.200    	  24.3000    	  66.9000    	  4.60000    	  68.0000    	  153.600    
      1968-01	  278.100    	  6.60000    	  63.7000    	  4.20000    	  179.100    	  216.400    
      1968-02	  214.300    	 0.000000E+00	  45.3000    	 0.000000E+00	  57.4000    	  117.000    
      1969-01	  62.0000    	  4.10000    	  44.8000    	 -2.00000    	  65.2000    	  141.600    
      1969-02	  10.6000    	 0.000000E+00	  23.7000    	 0.800000    	  38.4000    	  187.400    
