xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=29, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	04.0
cpt:Y	41.780586350000000
cpt:X	-90.252072999999996
1987	57737.045286970621
1988	54834.687304418432
1989	57401.959612252940
1990	55176.512933420745
1991	55415.937791196782
1992	56479.883987761656
1993	55278.797081987483
1994	55369.286621252628
1995	55313.539864807586
1996	56045.481332448486
1997	57030.339755670400
1998	55581.812066645718
1999	54619.300599761060
2000	51480.001434571132
2001	51853.058933106273
2002	55160.735287328855
2003	56715.230207707224
2004	55357.848275829005
2005	54900.771704084938
2006	55665.564815947968
2007	54889.196799192163
2008	55309.166178382919
2009	56187.343061891763
2010	992512.68989725795
2011	42510.228245438077
2012	51132.761694471868
2013	53735.486228261507
2014	66099.405364745238
2015	55378.430763752374
