xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=58, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	06.0
cpt:Y	28.308889059999998
cpt:X	-98.557238400000003
1958	239.60578240752284
1959	433.84270793015554
1960	412.32394233849379
1961	520.41638681384700
1962	620.14021601545903
1963	597.53698137712377
1964	767.79713710126953
1965	1011.1370215795590
1966	523.15733733866875
1967	683.15880945253036
1968	1239.6535421723336
1969	67.745484697869642
1970	364.02291618456866
1971	861.83198414079243
1972	638.55450180146693
1973	817.82706367159540
1974	704.57256273816881
1975	738.65387371062388
1976	428.96183433928320
1977	550.19829163028214
1978	500.34360018925781
1979	436.10280700540619
1980	446.83529657967534
1981	611.04738287470832
1982	588.27468853994480
1983	534.67321457185938
1984	1017.5651292604460
1985	1044.1125515677147
1986	931.07539180403398
1987	551.45056195595168
1988	421.63139570793749
1989	412.65049315147508
1990	590.54549989087752
1991	834.05874849833742
1992	587.43739873207949
1993	303.66596176377249
1994	630.56472184611675
1995	474.85324544564742
1996	438.33763574876161
1997	162.96101134435452
1998	623.57938717952698
1999	678.26031398510167
2000	456.58611850960546
2001	495.59710220032849
2002	547.24351734478466
2003	100.80043810935405
2004	441.19900905543545
2005	229.12133165532208
2006	329.91036789727355
2007	324.48025730890936
2008	379.53803935046744
2009	-40964.544313692975
2010	366.47691758625729
2011	570.89566717010530
2012	349.12924397035448
2013	575.80234759657378
2014	318.78060622051100
2015	578.20665478149658
